pokemon_id,move_id,level,order
29,445,43,
29,305,45,
30,45,1,1
30,10,1,2
30,39,7,
30,24,9,
30,40,13,
30,154,20,
30,44,23,
30,270,28,
30,390,35,
30,260,38,
30,242,43,
30,445,50,
30,305,58,
31,10,1,1
31,39,1,2
31,24,1,3
31,40,1,4
31,498,23,
31,34,35,
31,414,43,
31,276,58,
32,43,1,1
32,64,1,2
32,116,7,
32,24,9,
32,40,13,
32,31,19,
32,30,21,
32,270,25,
32,390,31,
32,260,33,
32,398,37,
32,445,43,
32,32,45,
33,43,1,1
33,64,1,2
33,116,7,
33,24,9,
33,40,13,
33,31,20,
33,30,23,
33,270,28,
33,390,35,
33,260,38,
33,398,43,
33,445,50,
33,32,58,
34,64,1,1
34,116,1,2
34,24,1,3
34,40,1,4
34,498,23,
34,37,35,
34,414,43,
34,224,58,
35,1,1,1
35,45,1,2
35,227,4,
35,47,7,
35,3,10
35,111,13
35,266,16
35,516,19
35,358,22
35,107,25
35,500,28
35,118,31
35,322,34
35,381,37
35,34,40
35,236,43
35,113,46
35,356,49
35,309,52
35,361,55
35,495,58,
36,47,1,1
36,3,1,2
36,107,1,3
36,118,1,4
37,52,1,
37,39,4,
37,46,7,
37,98,10,
37,83,12,
37,109,15,
37,286,18,
37,185,20,
37,481,23,
37,261,26,
37,506,28,
37,371,31,
37,53,34,
37,219,36,
37,326,39,
37,126,42,
37,288,44,
37,445,47,
37,517,50,
38,417,1,1
38,52,1,2
38,98,1,3
38,109,1,4
38,219,1,5
39,47,1,
39,111,5,
39,1,9,
39,50,13,
39,496,17,
39,205,21,
39,3,25,
39,156,29,
39,34,33,
39,360,37,
39,358,41,
39,102,45,
39,304,49,
39,38,53,
40,47,1,1
40,50,1,2
40,111,1,3
40,3,1,4
41,141,1,
41,48,4,
41,310,8,
41,44,12,
41,17,15,
41,109,19,
41,129,23,
41,314,26,
41,512,30,
41,212,34,
41,305,37,
41,114,41,
41,403,45,
42,103,1,1
42,141,1,2
42,48,1,3
42,310,1,4
42,48,4
42,310,8
42,44,12
42,17,15
42,109,19
42,129,24
42,314,28
42,512,33
42,212,38
42,305,42
42,114,47
42,403,52
43,71,1
43,230,5
43,51,9
43,77,13
43,78,15,
43,79,17,
43,72,21,
43,381,25,
43,363,29,
43,236,33,
43,202,37,
43,80,41,
44,71,1,1
44,230,1,2
44,51,1,3
44,230,5,
44,51,9,
44,77,13,
44,78,15,
44,79,17,
44,72,23,
44,381,29,
44,363,35,
44,236,41,
44,202,47,
44,80,53,
45,72,1,1
45,312,1,2
45,78,1,3
45,77,1,4
45,80,53,
45,76,65,
46,10,1,
46,78,6,1
46,77,6,2
46,141,11,
46,210,17,
46,147,22,
46,163,27,
46,74,33,
46,202,38,
46,312,43,
46,476,49,
46,404,54,
47,440,1,1
47,10,1,2
47,78,1,3
47,77,1,4
47,141,1,5
47,78,6,1
47,77,6,2
47,141,11,
47,210,17,
47,147,22,
47,163,29,
47,74,37,
47,202,44,
47,312,51,
47,476,59,
47,404,66,
48,33,1,1
48,50,1,2
48,193,1,3
48,48,5,
48,93,11,
48,77,13,
48,141,17,
48,78,23,
48,60,25,
48,79,29,
48,324,35,
48,428,37,
48,305,41,
48,94,47,
49,318,1,1
49,33,1,2
49,50,1,3
49,193,1,4
49,48,1,5
49,48,5,
49,93,11,
49,77,13,
49,141,17,
49,78,23,
49,60,25,
49,79,29,
49,16,31,
49,324,37,
49,428,41,
49,305,47,
49,94,55,
49,405,59,
49,483,63,
50,10,1,1
50,28,1,2
50,45,4,
50,310,7,
50,189,12,
50,222,15,
50,523,18,
50,389,23,
50,426,26,
50,414,29,
50,91,34,
50,163,37,
50,89,40,
50,90,45,
51,400,1,1
51,161,1,2
51,10,1,3
51,28,1,4
51,45,1,5
51,45,4,
51,310,7,
51,189,12,
51,222,15,
51,523,18,
51,389,23,
51,328,26,
51,426,28,
51,414,33,
51,91,40,
51,163,45,
51,89,50,
51,90,57,
52,10,1,1
52,45,1,2
52,44,6,
52,252,9,
52,154,14,
52,103,17,
52,185,22,
52,269,25,
52,6,30,
52,163,33,
52,417,38,
52,372,41,
52,445,46,
52,400,49,
52,364,54,
53,415,1,1
53,10,1,2
53,45,1,3
53,44,1,4
53,252,1,5
53,44,6,
53,252,9,
53,154,14,
53,103,17,
53,185,22,
53,269,25,
53,129,28,
53,408,32,
53,163,37,
53,417,44,
53,372,49,
53,445,56,
53,400,61,
53,364,68,
54,346,1,1
54,10,1,2
54,39,4,
54,55,8,
54,50,11,
54,93,15,
54,352,18,
54,154,22,
54,103,25,
54,428,29,
54,401,32,
54,487,36,
54,244,39,
54,133,43,
54,56,46,
54,472,50,
55,453,1,1
55,346,1,2
55,10,1,3
55,39,1,4
55,55,1,5
55,39,4,
55,55,8,
55,50,11,
55,93,15,
55,352,18,
55,154,22,
55,103,25,
55,428,29,
55,401,32,
55,487,38,
55,244,43,
55,133,49,
55,56,54,
55,472,60,
56,343,1,1
56,10,1,2
56,67,1,3
56,43,1,4
56,116,1,5
56,154,9,
56,2,13,
56,69,17,
56,103,21,
56,372,25,
56,207,33,
56,238,37,
56,37,41,
56,386,45,
56,370,49,
56,515,53,
57,374,1,1
57,10,1,2
57,67,1,3
57,43,1,4
57,116,1,5
57,154,9,
57,2,13,
57,69,17,
57,103,21,
57,372,25,
57,99,28,
57,207,35,
57,238,41,
57,37,47,
57,386,53,
57,370,59,
57,515,63,
58,44,1,1
58,46,1,2
58,52,6,
58,43,8,
58,316,10,
58,270,12,
58,172,17,
58,179,19,
58,424,21,
58,36,23,
58,481,28,
58,97,30,
58,514,32,
58,53,34,
58,242,39,
58,257,41,
58,200,43,
58,394,45,
59,422,1,1
59,44,1,2
59,46,1,3
59,316,1,4
59,424,1,5
59,245,34,
60,346,1,
60,145,5,
60,95,8,
60,55,11,
60,3,15,
60,240,18,
60,34,21,
60,61,25,
60,341,28,
60,187,31,
60,358,35,
60,56,38,
60,426,41,
61,346,1,1
61,145,1,2
61,95,1,3
61,145,5,
61,95,8,
61,55,11,
61,3,15,
61,240,18,
61,34,21,
61,61,27,
61,341,32,
61,187,37,
61,358,43,
61,56,48,
61,426,53,
62,61,1,1
62,95,1,2
62,3,1,3
62,66,1,4
62,223,32,
62,170,43,
62,509,53,
63,100,1,
64,100,1,1
64,134,1,2
64,93,1,3
64,93,16,
64,50,18,
64,357,22,
64,502,24,
64,60,28,
64,115,30,
64,477,34,
64,105,36,
64,427,40,
64,272,42,
64,94,46,
64,248,48,
64,271,52,
65,100,1,1
65,134,1,2
65,93,1,3
65,93,16,
65,50,18,
65,357,22,
65,502,24,
65,60,28,
65,115,30,
65,477,34,
65,105,36,
65,427,40,
65,347,42,
65,94,46,
65,248,48,
65,271,52,
66,67,1,1
66,43,1,2
66,116,7,
66,2,10,
66,490,13,
66,193,19,
66,69,22,
66,279,25,
66,233,31,
66,66,34,
66,358,37,
66,238,43,
66,184,46,
66,223,49,
67,67,1,1
67,43,1,2
67,116,1,3
67,2,1,4
67,116,7,
67,2,10,
67,490,13,
67,193,19,
67,69,22,
67,279,25,
67,233,32,
67,66,36,
67,358,40,
67,238,44,
67,184,51,
67,223,55,
68,469,1,1
68,67,1,2
68,43,1,3
68,116,1,4
68,2,1,5
68,116,7,
68,2,10,
68,490,13
68,193,19
68,69,22
68,279,25
68,233,32
68,66,36
68,358,40
68,238,44
68,184,51
68,223,55
69,22,1
69,74,7
69,35,11
69,79,13
69,77,15
69,78,17
69,51,23,
69,282,27,
69,230,29,
69,380,35,
69,75,39,
69,21,41,
69,378,47,
70,22,1,1
70,74,1,2
70,35,1,3
70,74,7,
70,35,11,
70,79,13,
70,77,15,
70,78,17,
70,51,23,
70,282,27,
70,230,29,
70,380,35,
70,75,39,
70,21,41,
70,378,47,
71,254,1,1
71,256,1,2
71,255,1,3
71,22,1,4
71,79,1,5
71,230,1,6
71,75,1,7
71,536,27,
71,437,47,1
71,348,47,2
72,40,1
72,48,5
72,132,8
72,51,12
72,390,15
72,61,19
72,35,22
72,491,26
72,112,29
72,352,33
72,398,36
72,103,40
72,506,43
72,56,47
72,482,50
72,378,54
73,40,1,1
73,48,1,2
73,132,1,3
73,48,5,
73,132,8,
73,51,12,
73,390,15,
73,61,19,
73,35,22,
73,491,26,
73,112,29,
73,352,34,
73,398,38,
73,103,43,
73,506,47,
73,56,52,
73,482,56,
73,378,61,
74,33,1,1
74,111,1,2
74,300,4,
74,397,8,
74,88,11,
74,222,15,
74,205,18,
74,350,22,
74,479,25,
74,120,29,
74,523,32,
74,446,36,
74,89,39,
74,153,43,
74,38,46,
74,444,50,
75,33,1,1
75,111,1,2
75,300,1,3
75,397,1,4
75,300,4,
75,397,8,
75,88,11,
75,222,15,
75,205,18,
75,350,22,
75,479,27,
75,120,31,
75,523,36,
75,446,42,
75,89,47,
75,153,53,
75,38,58,
75,444,64,
76,33,1,1
76,111,1,2
76,300,1,3
76,397,1,4
76,300,4,
76,397,8,
76,88,11,
76,222,15,
76,537,18,
76,350,22,
76,479,27,
76,120,31,
76,523,36,
76,446,42,
76,89,47,
76,153,53,
76,38,58,
76,444,64,
76,484,69,
77,45,1,1
77,33,1,2
77,39,4,
77,52,9,
77,172,13,
77,23,17,
77,488,21,
77,83,25,
77,36,29,
77,517,33,
77,97,37,
77,126,41,
77,340,45,
77,394,49,
78,398,1,1
78,224,1,2
78,45,1,3
78,98,1,4
78,39,1,5
78,52,1,6
78,39,4,
78,52,9,
78,172,13,
78,23,17,
78,488,21,
78,83,25,
78,36,29,
78,517,33,
78,97,37,
78,31,40,
78,126,41,
78,340,45,
78,394,49,
79,174,1,1
79,281,1,2
79,33,1,3
79,45,5,
79,55,9,
79,93,14,
79,50,19,
79,29,23,
79,352,28,
79,428,32,
79,303,36,
79,133,41,
79,94,45,
79,240,49,
79,244,54,
79,505,58,
80,174,1,1
80,281,1,2
80,33,1,3
80,45,1,4
80,45,5,
80,55,9,
80,93,14,
80,50,19,
80,29,23
80,352,28
80,428,32
80,303,36
80,110,37
80,133,43
80,94,49
80,240,55
80,244,62
80,505,68
81,33,1
81,48,4
81,84,7
81,49,11
81,86,15
81,443,18
81,209,21,
81,429,25,
81,319,29,
81,486,32,
81,430,35,
81,103,39,
81,435,43,
81,199,46,
81,393,49,
81,360,53,
81,192,57,
82,161,1,1
82,33,1,2
82,48,1,3
82,84,1,4
82,49,1,5
82,48,4
82,84,7
82,49,11
82,86,15
82,443,18
82,209,21
82,429,25
82,319,29
82,486,34
82,430,39
82,103,45
82,435,51
82,199,56
82,393,62
82,360,67
82,192,73
83,398,1,1
83,64,1,2
83,28,1,3
83,43,1,4
83,210,1,5
83,31,7,
83,282,9,
83,332,13,
83,163,19,
83,314,21,
83,14,25,
83,97,31,
83,400,33,
83,512,37,
83,364,43,
83,206,45,
83,403,49,
83,413,55,
84,64,1,1
84,45,1,2
84,98,5,
84,99,10,
84,31,14,
84,228,19,
84,253,23,
84,367,28,
84,458,32,
84,97,37,
84,65,41,
84,283,46,
84,37,50,
85,365,1,1
85,64,1,2
85,45,1,3
85,98,1,4
85,99,1,5
85,98,5,
85,99,10,
85,31,14,
85,228,19,
85,253,23,
85,367,28,
85,161,34,
85,97,41,
85,65,47,
85,283,54,
85,37,60,
86,29,1,
86,45,3
86,346,7
86,196,11
86,227,13
86,420,17
86,156,21
86,392,23
86,62,27
86,453,31
86,362,33
86,36,37
86,291,41
86,401,43
86,58,47
86,219,51
86,258,53
87,29,1,1
87,45,1,2
87,324,1,3
87,196,1,4
87,45,3,
87,324,7,
87,196,11,
87,227,13,
87,420,17,
87,156,21,
87,392,23,
87,62,27,
87,453,31,
87,362,33,
87,329,34,
87,36,39,
87,291,45,
87,401,49,
87,58,55,
87,219,61,
87,258,65,
88,1,1,1
88,139,1,2
88,106,4,
88,189,7,
88,50,12,
88,124,15,
88,107,18,
88,426,21,
88,188,26,
88,374,29,
88,103,32,
88,482,37,
88,151,40,
88,441,43,
88,262,48,
89,1,1,1
89,139,1,2
89,106,1,3
89,189,1,4
89,106,4,
89,189,7,
89,50,12,
89,124,15,
89,107,18,
89,426,21,
89,188,26,
89,374,29,
89,103,32
89,482,37
89,151,43
89,441,49
89,262,57
90,33,1
90,110,4
90,48,8
90,333,13
90,182,16
90,43,20
90,128,25
90,420,28
90,534,32
90,62,37
90,250,40
90,362,44,
90,334,49,
90,58,52,
90,504,56,
90,56,61,
91,390,1,1
91,110,1,2
91,48,1,3
91,182,1,4
91,62,1,5
91,131,13,
91,191,28,
91,556,52,
92,95,1,1
92,122,1,2
92,180,5,
92,212,8,
92,174,12,
92,101,15,
92,109,19,
92,389,22,
92,371,26,
92,247,29,
92,138,33,
92,399,36,
92,194,40,
92,506,43,
92,171,47,
93,95,1,1
93,122,1,2
93,180,1,3
93,180,5,
93,212,8,
93,174,12,
93,101,15,
93,109,19,
93,389,22,
93,325,25,
93,371,28,
93,247,33,
93,138,39,
93,399,44,
93,194,50,
93,506,55,
93,171,61,
94,95,1,1
94,122,1,2
94,180,1,3
94,180,5,
94,212,8,
94,174,12,
94,101,15,
94,109,19,
94,389,22,
94,325,25,
94,371,28,
94,247,33,
94,138,39,
94,399,44,
94,194,50,
94,506,55,
94,171,61,
95,300,1,1
95,33,1,2
95,106,1,3
95,20,1,4
95,174,4,
95,88,7,
95,99,10,
95,317,13,
95,446,16,
95,397,19,
95,479,22,
95,225,25,
95,21,28,
95,103,31,
95,157,34,
95,328,37,
95,231,40,
95,91,43,
95,444,46,
95,38,49,
95,201,52,
96,1,1,1
96,95,1,2
96,50,5,
96,93,9,
96,29,13,
96,139,17,
96,96,21,
96,60,25,
96,29,29,
96,244,33,
96,485,37,
96,428,41,
96,207,45,
96,94,49,
96,417,53,
96,473,57,
96,248,61,
97,171,1,1
97,415,1,2
97,1,1,3
97,95,1,4
97,50,1,5
97,93,1,6
97,50,5,
97,93,9,
97,29,13,
97,139,17,
97,96,21,
97,60,25,
97,29,29,
97,244,33,
97,485,37,
97,428,41,
97,207,45,
97,94,49,
97,417,53,
97,473,57,
97,248,61,
98,300,1,1
98,145,1,2
98,11,5,
98,43,9,
98,106,11,
98,61,15,
98,341,19,
98,232,21,
98,23,25,
98,182,29,
98,12,31,
98,21,35,
98,362,39,
98,152,41,
98,175,45,
99,469,1,1
99,300,1,2
99,145,1,3
99,11,1,4
99,43,1,5
99,11,5,
99,43,9,
99,106,11,
99,61,15
99,341,19
99,232,21
99,23,25
99,182,32
99,12,37
99,21,44
99,362,51
99,152,56
99,175,63
100,268,1
100,33,5
100,49,8
100,209,12
100,205,15
100,103,19
100,451,22,
100,113,26,
100,486,29,
100,120,33,
100,129,36,
100,393,40,
100,360,43,
100,153,47,
100,243,50,
101,268,1,1
101,33,1,2
101,49,1,3
101,209,1,4
101,33,5,
101,49,8,
101,209,12,
101,205,15,
101,103,19,
101,451,22,
101,113,26,
101,486,29,
101,120,35,
101,129,40,
101,393,46,
101,360,51,
101,153,57,
101,243,62,
102,140,1,1
102,253,1,2
102,95,1,3
102,115,7,
102,73,11,
102,331,17,
102,78,19,
102,77,21,
102,79,23,
102,93,27,
102,388,33,
102,363,37,
102,76,43,
102,326,47,
102,516,53,
103,402,1,1
103,140,1,2
103,95,1,3
103,93,1,4
103,23,1,5
103,473,17,
103,121,27
103,452,37
103,437,47
104,45,1
104,39,3
104,125,7
104,29,11
104,43,13
104,116,17
104,155,21
104,99,23
104,206,27
104,37,31
104,374,33
104,198,37
104,283,41
104,38,43,
104,514,47,
105,45,1,1
105,39,1,2
105,125,1,3
105,29,1,4
105,39,3,
105,125,7,
105,29,11,
105,43,13,
105,116,17,
105,155,21,
105,99,23,
105,206,27,
105,37,33,
105,374,37,
105,198,43,
105,283,49,
105,38,53,
105,514,59,
106,279,1,1
106,24,1,2
106,96,5,
106,27,9,
106,26,13,
106,280,17,
106,116,21,
106,364,25,
106,136,29,
106,170,33,
106,193,37,
106,469,41,
106,299,45,
106,203,49,
106,25,53,
106,370,57,
106,179,61,
107,279,1,1
107,4,1,2
107,97,6,
107,228,11,
107,183,16,1
107,418,16,2
107,364,21,
107,410,26,
107,501,31,
107,9,36,1
107,8,36,2
107,7,36,3
107,327,41,
107,5,46,
107,197,51,
107,264,56,
107,68,61,
107,370,66,
108,122,1,
108,48,5,
108,111,9,
108,282,13,
108,35,17,
108,23,21,
108,50,25,
108,21,29,
108,205,33,
108,498,37,
108,382,41,
108,287,45,
108,103,49,
108,438,53,
108,378,57,
109,139,1,1
109,33,1,2
109,123,4,
109,108,7,
109,372,12,
109,499,15,
109,124,18,
109,120,23,
109,114,26,
109,360,29,
109,188,34,
109,153,37,
109,194,40,
109,262,45,
110,139,1,1
110,33,1,2
110,123,1,3
110,108,1,4
110,123,4,
110,108,7,
110,372,12,
110,499,15,
110,124,18,
110,120,23,
110,114,26,
110,458,29,
110,188,34,
110,153,40,
110,194,46,
110,262,54,
111,30,1,1
111,39,1,2
111,23,8,
111,31,12,
111,184,19,
111,350,23,
111,523,30,
111,498,34,
111,36,41,
111,529,45,
111,444,52,
111,89,56,
111,32,63,
111,224,67,
112,30,1,1
112,39,1,2
112,23,1,3
112,31,1,4
112,23,9,
112,31,12,
112,184,19,
112,350,23,
112,523,30,
112,498,34,
112,36,41,
112,359,42,
112,529,47,
112,444,56,
112,89,62,
112,32,71,
112,224,77,
113,111,1,1
113,1,1,2
113,45,1,3
113,39,5,
113,287,9,
113,3,12,
113,135,16,
113,516,20,
113,107,23,
113,36,27,
113,47,31,
113,374,34,
113,505,38,
113,121,42,
113,113,46,
113,361,50,
113,38,54,
114,275,1,1
114,132,1,2
114,79,4,
114,22,7,
114,71,10,
114,77,14,
114,20,17,
114,74,20,
114,72,23,
114,282,27,
114,78,30,
114,363,33,
114,202,36,
114,246,40,
114,21,43,
114,321,46,
114,378,49,
114,438,53,
115,4,1,1
115,43,1,2
115,252,7,
115,39,10,
115,44,13,
115,458,19,
115,99,22,
115,5,25,
115,498,31,
115,146,34,
115,242,37
115,203,43
115,200,46
115,389,49
115,179,55
116,145,1
116,108,4
116,43,8
116,55,11
116,116,14
116,61,18
116,97,23
116,239,26
116,362,30
116,56,35
116,349,38
116,406,42,
117,145,1,1
117,108,1,2
117,43,1,3
117,55,1,4
117,108,4,
117,43,8,
117,55,11,
117,116,14,
117,61,18,
117,97,23,
117,239,26,
117,362,30,
117,56,40,
117,349,48,
117,406,57,
118,64,1,1
118,39,1,2
118,346,1,3
118,48,7,
118,30,11,
118,352,17,
118,175,21,
118,392,27,
118,31,31,
118,127,37,
118,32,41,
118,97,47,
118,487,51,
118,224,57,
119,398,1,1
119,64,1,2
119,39,1,3
119,346,1,4
119,48,1,5
119,48,7,
119,30,11,
119,352,17,
119,175,21,
119,392,27,
119,31,31,
119,127,40,
119,32,47,
119,97,56,
119,487,63,
119,224,72,
120,33,1,1
120,106,1,2
120,55,6,
120,229,10,
120,105,12,
120,293,15,
120,129,18,
120,61,22,
120,107,25,
120,360,30,
120,113,33,
120,362,36,
120,513,40,
120,408,43,
120,322,48,
120,56,52,
121,55,1,1
121,229,1,2
121,105,1,3
121,129,1,4
121,109,22,
122,345,1,1
122,501,1,2
122,469,1,3
122,384,1,4
122,385,1,5
122,112,1,6
122,93,1,7
122,383,4,
122,96,8,
122,3,11,
122,102,15,1
122,149,15,2
122,227,18,
122,113,22,1
122,115,22,2
122,60,25,
122,164,29,
122,278,32,
122,271,36,
122,94,39,
122,272,43,
122,226,46,
122,219,50,
123,410,1,1
123,98,1,2
123,43,1,3
123,116,5,
123,228,9,
123,206,13,
123,97,17,
123,17,21,
123,210,25,
123,163,29,
123,13,33,
123,104,37,
123,404,41,
123,400,45,
123,458,49,
123,403,53,
123,14,57,
123,364,61,
124,1,1,1
124,122,1,2
124,142,1,3
124,181,1,4
124,122,5,
124,142,8,
124,181,11,
124,3,15,
124,8,18,
124,531,21,
124,212,25,
124,313,28,
124,358,33,
124,419,39,
124,34,44,
124,378,49,
124,195,55,
124,59,60,
125,98,1,1
125,43,1,2
125,84,1,3
125,84,5,
125,67,8,
125,129,12,
125,351,15,
125,86,19,
125,486,22,
125,113,26,
125,9,29,
125,435,36,
125,103,42,
125,85,49,
125,87,55,
126,123,1,1
126,43,1,2
126,52,1,3
126,52,5,
126,108,8,
126,185,12,
126,83,15,
126,499,19,
126,481,22,
126,109,26,
126,7,29,
126,436,36,
126,241,42,
126,53,49,
126,126,55,
127,11,1,1
127,116,1,2
127,20,4,
127,69,8,
127,106,11
127,279,15
127,280,18
127,233,22
127,66,26
127,404,29
127,480,33
127,37,36
127,14,40
127,276,43
127,12,47
128,33,1
128,39,3
128,99,5
128,30,8
128,184,11
128,228,15
128,156,19
128,371,24
128,526,29
128,428,35
128,36,41
128,207,48
128,37,55
128,416,63
129,150,1
129,33,15
129,175,30
130,37,1
130,44,20
130,82,23
130,43,26
130,239,29,
130,423,32,
130,401,35,
130,240,38,
130,56,41,
130,349,44,
130,63,47,
131,47,1,1
131,45,1,2
131,55,1,3
131,54,4,
131,109,7,
131,420,10,
131,352,14,
131,34,18,
131,240,22,
131,195,27,
131,58,32,
131,362,37,
131,219,43,
131,56,49,
131,329,55,
132,144,1,
133,270,1,1
133,33,1,2
133,39,1,3
133,28,5,
133,45,9,
133,98,13,
133,44,17,
133,343,21,
133,36,25,
133,204,29,
133,226,33,
133,38,37,
133,387,41,
133,376,45,
134,270,1,1
134,33,1,2
134,39,1,3
134,28,5,
134,55,9,
134,98,13,
134,352,17,
134,62,21,
134,392,25,
134,151,29,
134,114,33,
134,330,37,
134,387,41,
134,56,45,
135,270,1,1
135,33,1,2
135,39,1,3
135,28,5,
135,84,9,
135,98,13,
135,24,17,
135,422,21,
135,42,25,
135,97,29,
135,86,33,
135,435,37,
135,387,41,
135,87,45,
136,270,1,1
136,33,1,2
136,39,1,3
136,28,5,
136,52,9,
136,98,13,
136,44,17,
136,424,21,
136,83,25,
136,184,29,
136,123,33,
136,436,37,
136,387,41,
136,126,45,
137,176,1,1
137,33,1,2
137,160,1,3
137,159,1,4
137,60,7,
137,97,12,
137,105,18,
137,393,23,
137,324,29,
137,278,34,
137,435,40,
137,199,45,
137,161,51,
137,277,56,
137,192,62,
138,132,1,1
138,110,1,2
138,44,7,
138,55,10,
138,205,16,
138,43,19,
138,341,25,
138,362,28,
138,182,34,
138,246,37,
138,321,43,
138,350,46,
138,504,52,
138,56,55,
139,132,1,1
139,110,1,2
139,44,1,3
139,44,7,
139,55,10,
139,205,16,
139,43,19,
139,341,25,
139,362,28,
139,182,34,
139,246,37,
139,131,40,
139,321,48,
139,350,56,
139,504,67,
139,56,75,
140,10,1,1
140,106,1,2
140,71,6,
140,43,11,
140,341,16,
140,28,21,
140,203,26,
140,453,31,
140,72,36,
140,319,41,
140,246,46,
140,378,51,
141,364,1,1
141,10,1,2
141,106,1,3
141,71,1,4
141,43,1,5
141,71,6,
141,43,11,
141,341,16,
141,28,21,
141,203,26,
141,453,31,
141,72,36,
141,163,40,
141,319,45,
141,246,54,
